# Time,H3_IPR,Cubic_IPR
9.098196392785570907e+00,3.052137230223179731e-01,3.005292421019769081e-02
9.138276553106212674e+00,3.040010043565582465e-01,3.193130263844558281e-02
9.178356713426852664e+00,3.010441041362969528e-01,3.405253634576696498e-02
9.218436873747494431e+00,2.960455700317281558e-01,3.642298282958623262e-02
9.258517034068136198e+00,2.893233527290493545e-01,3.904872131731020046e-02
9.298597194388777964e+00,2.816951408524430156e-01,4.193538677648236263e-02
9.338677354709417955e+00,2.743337897659261504e-01,4.508785530882329640e-02
9.378757515030059722e+00,2.685330712088616623e-01,4.850974878624553233e-02
9.418837675350701488e+00,2.653228995735462115e-01,5.220274556980228353e-02
9.458917835671341479e+00,2.650804150211409915e-01,5.616571776811755262e-02
9.498997995991983245e+00,2.673590522989015561e-01,6.039375666150501726e-02
9.539078156312625012e+00,2.710423604936804121e-01,6.487718559146335440e-02
9.579158316633266779e+00,2.747714933251965697e-01,6.960068436682063930e-02
9.619238476953906769e+00,2.774606528627810431e-01,7.454265433180373712e-02
9.659318637274548536e+00,2.786847610192366709e-01,7.967493472125362908e-02
9.699398797595190302e+00,2.787917651271430985e-01,8.496294029900991474e-02
9.739478957915832069e+00,2.787122348908806502e-01,9.036623185668600511e-02
9.779559118236472059e+00,2.795664728915177588e-01,9.583946377867001709e-02
9.819639278557113826e+00,2.822488630541066246e-01,1.013335914571041191e-01
9.859719438877755593e+00,2.871086620174929660e-01,1.067971799895225671e-01
9.899799599198395583e+00,2.937783721806255244e-01,1.121776484701158122e-01
9.939879759519037350e+00,3.011983210908496522e-01,1.174223145915253008e-01
9.979959919839679117e+00,3.078693958894406224e-01,1.224791661417351518e-01
1.002004008016032088e+01,3.122962275470179683e-01,1.272973624200631759e-01
1.006012024048096087e+01,3.134915299305872094e-01,1.318275374089475649e-01
1.010020040080160264e+01,3.113375938033804968e-01,1.360220216620179612e-01
1.014028056112224441e+01,3.066289999161521118e-01,1.398351094683499551e-01
1.018036072144288617e+01,3.007703982455763869e-01,1.432234761292497660e-01
1.022044088176352616e+01,2.952764413982467140e-01,1.461468055279023792e-01
1.026052104208416793e+01,2.912844011306567338e-01,1.485686351780825531e-01
1.030060120240480970e+01,2.892597652600871205e-01,1.504573769870614919e-01
1.034068136272544969e+01,2.889323831945437848e-01,1.517874342046304503e-01
1.038076152304609145e+01,2.894036555055592430e-01,1.525403153715966520e-01
1.042084168336673322e+01,2.894162860158537853e-01,1.527056417258800258e-01
1.046092184368737499e+01,2.878043322070383270e-01,1.522819565637574812e-01
1.050100200400801498e+01,2.840165657562420121e-01,1.512772681512645490e-01
1.054108216432865675e+01,2.784285702834161103e-01,1.497092870645213569e-01
1.058116232464929851e+01,2.722048292698145966e-01,1.476053480065880330e-01
1.062124248496994028e+01,2.667724196527082037e-01,1.450020310133990353e-01
1.066132264529058027e+01,2.632439579719300093e-01,1.419445109294417418e-01
1.070140280561122204e+01,2.621200696499639271e-01,1.384856708651548141e-01
1.074148296593186380e+01,2.633269184085310632e-01,1.346850126239487744e-01
1.078156312625250379e+01,2.664182096554372214e-01,1.306073923020149574e-01
1.082164328657314556e+01,2.707508027566646325e-01,1.263216041182656513e-01
1.086172344689378733e+01,2.755843441396681470e-01,1.218988343947749881e-01
1.090180360721442909e+01,2.801926589423930913e-01,1.174110146303239399e-01
1.094188376753506908e+01,2.840418793159927291e-01,1.129291151173296842e-01
1.098196392785571085e+01,2.869905072514591371e-01,1.085214405808999916e-01
1.102204408817635262e+01,2.894108209847768842e-01,1.042520096361095328e-01
1.106212424849699438e+01,2.921345980513443408e-01,1.001791154114651250e-01
1.110220440881763437e+01,2.961601778944669694e-01,9.635416870151909674e-02
1.114228456913827614e+01,3.021755738095503463e-01,9.282091255106561523e-02
1.118236472945891791e+01,3.101121120121521080e-01,8.961506943236915990e-02
1.122244488977955790e+01,3.189762573335385709e-01,8.676443938569756986e-02
1.126252505010019966e+01,3.270969727367840085e-01,8.428942081983811785e-02
1.130260521042084143e+01,3.327241427705276422e-01,8.220387875508280984e-02
1.134268537074148320e+01,3.347166789158748101e-01,8.051624720238896582e-02
1.138276553106212319e+01,3.330056937333157330e-01,7.923072530285303616e-02
1.142284569138276495e+01,3.286064628132660537e-01,7.834841406978620970e-02
1.146292585170340672e+01,3.231837647984659445e-01,7.786824205340511784e-02
1.150300601202404849e+01,3.184161226665384037e-01,7.778754665271048196e-02
1.154308617234468848e+01,3.154548978910113877e-01,7.810220990912217220e-02
1.158316633266533024e+01,3.146191520396874886e-01,7.880629498562129187e-02
1.162324649298597201e+01,3.153467897304263468e-01,7.989118554502236402e-02
1.166332665330661200e+01,3.164277597055760727e-01,8.134429069975171456e-02
1.170340681362725377e+01,3.164996331874787572e-01,8.314743489845646818e-02
1.174348697394789554e+01,3.146178947472750842e-01,8.527509834589014348e-02
1.178356713426853730e+01,3.106238929986262498e-01,8.769270528634592887e-02
1.182364729458917729e+01,3.051700173693888130e-01,9.035517115755810347e-02
1.186372745490981906e+01,2.994787832228251734e-01,9.320591471423254892e-02
1.190380761523046083e+01,2.949983619820446545e-01,9.617651941406216154e-02
1.194388777555110259e+01,2.930697922236152331e-01,9.918718916365190652e-02
1.198396793587174258e+01,2.946502720009733789e-01,1.021480894526828748e-01
1.202404809619238435e+01,3.000830406142300788e-01,1.049615990317569608e-01
1.206412825651302612e+01,3.089062364546268924e-01,1.075254223822582622e-01
1.210420841683366611e+01,3.198315614609551494e-01,1.097364368952700314e-01
1.214428857715430787e+01,3.310586940631857211e-01,1.114950766736967219e-01
1.218436873747494964e+01,3.409089004023846403e-01,1.127099951050348214e-01
1.222444889779559141e+01,3.485053475789608446e-01,1.133027069272925513e-01
1.226452905811623140e+01,3.541304011235695826e-01,1.132118917143430104e-01
1.230460921843687316e+01,3.590726442594068812e-01,1.123970464808281278e-01
1.234468937875751493e+01,3.650572078166791634e-01,1.108412054670984970e-01
1.238476953907815670e+01,3.735366065998820262e-01,1.085524983571927587e-01
1.242484969939879669e+01,3.851151504207319665e-01,1.055643914878948986e-01
1.246492985971943845e+01,3.992429217151637899e-01,1.019345456969409786e-01
1.250501002004008022e+01,4.142439062235936942e-01,9.774232340733739199e-02
1.254509018036072021e+01,4.277029386619455309e-01,9.308507842547726618e-02
1.258517034068136198e+01,4.371815572356255175e-01,8.807345521181698944e-02
1.262525050100200374e+01,4.410707842315096383e-01,8.282600059222396116e-02
1.266533066132264551e+01,4.391970102607903326e-01,7.746344198597876485e-02
1.270541082164328550e+01,4.328745455827000543e-01,7.210300732264134094e-02
1.274549098196392727e+01,4.244062443512855443e-01,6.685315318037912680e-02
1.278557114228456904e+01,4.162736215766089654e-01,6.180903015688390956e-02
1.282565130260520903e+01,4.103221775396184712e-01,5.704895537043065679e-02
1.286573146292585079e+01,4.072221941851061899e-01,5.263208453184138602e-02
1.290581162324649256e+01,4.064001827576206871e-01,4.859738646765162512e-02
1.294589178356713433e+01,4.064452338033135992e-01,4.496392581520058940e-02
1.298597194388777432e+01,4.058057331486912278e-01,4.173236032296833570e-02
1.302605210420841608e+01,4.035017968017488577e-01,3.888746539262445678e-02
1.306613226452905785e+01,3.995999891199509824e-01,3.640141835946469895e-02
1.310621242484969962e+01,3.952958098379545371e-01,3.423751917088117130e-02
1.314629258517033961e+01,3.925569475734235758e-01,3.235400067109746314e-02
1.318637274549098137e+01,3.934669600466360606e-01,3.070759580881479017e-02
1.322645290581162314e+01,3.995376916407224477e-01,2.925658061758838052e-02
1.326653306613226313e+01,4.111811051548928675e-01,2.796309331256133929e-02
1.330661322645290490e+01,4.274306716683402008e-01,2.679462940917348712e-02
1.334669338677354666e+01,4.460386026674015847e-01,2.572471478473242409e-02
1.338677354709418843e+01,4.640415975243900037e-01,2.473284838877996133e-02
1.342685370741482842e+01,4.786866579718723202e-01,2.380387282221922696e-02
1.346693386773547019e+01,4.883399540242990278e-01,2.292696896282745561e-02
1.350701402805611195e+01,4.929626264826841853e-01,2.209448036332780155e-02
1.354709418837675372e+01,4.940031544914187944e-01,2.130075863568166653e-02
1.358717434869739371e+01,4.938305943184769231e-01,2.054118822104149950e-02
1.362725450901803548e+01,4.949535033172049459e-01,1.981150346468784837e-02
